,case:concept:name,concept:name,time:timestamp
0,travel permit 10538,Permit SUBMITTED by EMPLOYEE,2018-06-14T18:11:44.000000+0000
1,travel permit 10538,Permit APPROVED by ADMINISTRATION,2018-06-14T18:11:55.000000+0000
2,travel permit 10538,Permit FINAL_APPROVED by SUPERVISOR,2018-06-18T06:24:05.000000+0000
3,travel permit 10538,Payment Handled,2018-06-25T16:26:56.000000+0000
4,travel permit 10538,Request For Payment APPROVED by ADMINISTRATION,2018-06-25T16:27:10.000000+0000
5,travel permit 10538,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-26T06:54:35.000000+0000
6,travel permit 10538,Request For Payment SUBMITTED by EMPLOYEE,2018-06-27T10:49:22.000000+0000
7,travel permit 10538,Request Payment,2018-06-28T15:31:36.000000+0000
8,travel permit 10538,Start trip,2018-09-02T22:00:00.000000+0000
9,travel permit 10538,End trip,2018-09-06T22:00:00.000000+0000
10,travel permit 10538,Send Reminder,2018-11-01T05:00:13.000000+0000
11,travel permit 10538,Send Reminder,2019-01-01T05:00:45.000000+0000
12,travel permit 10648,Permit SUBMITTED by EMPLOYEE,2018-06-20T08:10:43.000000+0000
13,travel permit 10648,Permit APPROVED by BUDGET OWNER,2018-06-20T08:10:56.000000+0000
14,travel permit 10648,Permit APPROVED by ADMINISTRATION,2018-06-21T09:56:30.000000+0000
15,travel permit 10648,Permit FINAL_APPROVED by SUPERVISOR,2018-06-26T05:26:33.000000+0000
16,travel permit 10648,Start trip,2018-10-16T22:00:00.000000+0000
17,travel permit 10648,End trip,2018-10-18T22:00:00.000000+0000
18,travel permit 10648,Declaration SUBMITTED by EMPLOYEE,2018-10-23T10:18:19.000000+0000
19,travel permit 10648,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-23T10:18:31.000000+0000
20,travel permit 10648,Declaration APPROVED by BUDGET OWNER,2018-10-31T10:34:14.000000+0000
21,travel permit 10648,Declaration APPROVED by ADMINISTRATION,2018-11-01T07:13:07.000000+0000
22,travel permit 10648,Request Payment,2018-11-05T11:09:57.000000+0000
23,travel permit 10648,Payment Handled,2018-11-08T16:31:14.000000+0000
24,travel permit 11175,Start trip,2018-09-04T22:00:00.000000+0000
25,travel permit 11175,Request Payment,2018-09-06T22:00:00.000000+0000
26,travel permit 11175,Permit SUBMITTED by EMPLOYEE,2018-09-28T07:50:35.000000+0000
27,travel permit 11175,Payment Handled,2018-09-28T07:50:40.000000+0000
28,travel permit 11175,Permit APPROVED by BUDGET OWNER,2018-09-28T08:52:53.000000+0000
29,travel permit 11175,Permit FINAL_APPROVED by SUPERVISOR,2018-10-03T08:02:11.000000+0000
30,travel permit 11175,Declaration SUBMITTED by EMPLOYEE,2018-10-04T15:20:58.000000+0000
31,travel permit 11175,Declaration APPROVED by ADMINISTRATION,2018-10-04T15:51:20.000000+0000
32,travel permit 11175,Declaration APPROVED by BUDGET OWNER,2018-10-08T12:28:26.000000+0000
33,travel permit 11175,Declaration FINAL_APPROVED by SUPERVISOR,2018-10-09T06:51:57.000000+0000
34,travel permit 11175,End trip,2018-10-09T07:44:11.000000+0000
35,travel permit 11175,Permit APPROVED by ADMINISTRATION,2018-10-11T15:31:07.000000+0000
36,travel permit 11231,Start trip,2018-09-30T22:00:00.000000+0000
37,travel permit 11231,End trip,2018-10-02T22:00:00.000000+0000
38,travel permit 11231,Permit SUBMITTED by EMPLOYEE,2018-10-09T11:47:31.000000+0000
39,travel permit 11231,Permit REJECTED by BUDGET OWNER,2018-10-09T11:47:35.000000+0000
40,travel permit 11231,Permit APPROVED by ADMINISTRATION,2018-10-11T14:46:46.000000+0000
41,travel permit 11231,Permit REJECTED by EMPLOYEE,2018-10-12T14:58:47.000000+0000
42,travel permit 14262,Permit FINAL_APPROVED by SUPERVISOR,2018-01-18T14:09:12.000000+0000
43,travel permit 14262,Permit APPROVED by ADMINISTRATION,2018-01-18T14:09:50.000000+0000
44,travel permit 14262,Permit SUBMITTED by EMPLOYEE,2018-01-19T10:18:46.000000+0000
45,travel permit 14262,Start trip,2018-02-04T23:00:00.000000+0000
46,travel permit 14262,End trip,2018-02-04T23:00:00.000000+0000
47,travel permit 15066,Declaration APPROVED by ADMINISTRATION,2018-05-01T08:52:00.000000+0000
48,travel permit 15066,Permit APPROVED by BUDGET OWNER,2018-05-01T08:52:08.000000+0000
49,travel permit 15066,Permit APPROVED by ADMINISTRATION,2018-05-02T06:21:17.000000+0000
50,travel permit 15066,Start trip,2018-05-03T22:00:00.000000+0000
51,travel permit 15066,End trip,2018-05-05T22:00:00.000000+0000
52,travel permit 15066,Permit FINAL_APPROVED by SUPERVISOR,2018-05-08T05:54:56.000000+0000
53,travel permit 15066,Declaration SUBMITTED by EMPLOYEE,2018-05-18T09:25:14.000000+0000
54,travel permit 15066,Permit SUBMITTED by EMPLOYEE,2018-05-18T09:28:09.000000+0000
55,travel permit 15066,Declaration APPROVED by BUDGET OWNER,2018-05-23T11:47:02.000000+0000
56,travel permit 15066,Declaration FINAL_APPROVED by SUPERVISOR,2018-05-24T06:14:33.000000+0000
57,travel permit 15066,Request Payment,2018-05-25T10:49:50.000000+0000
58,travel permit 15066,Payment Handled,2018-05-28T15:30:59.000000+0000
59,travel permit 16330,Permit FINAL_APPROVED by SUPERVISOR,2018-01-09T08:20:11.000000+0000
60,travel permit 16330,Permit APPROVED by ADMINISTRATION,2018-01-09T08:20:38.000000+0000
61,travel permit 16330,Permit SUBMITTED by EMPLOYEE,2018-01-09T14:02:28.000000+0000
62,travel permit 16330,Start trip,2018-01-13T23:00:00.000000+0000
63,travel permit 16330,Payment Handled,2018-01-16T23:00:00.000000+0000
64,travel permit 16330,Declaration SUBMITTED by EMPLOYEE,2018-01-18T11:53:27.000000+0000
65,travel permit 16330,Declaration APPROVED by ADMINISTRATION,2018-01-19T08:47:53.000000+0000
66,travel permit 16330,Declaration FINAL_APPROVED by SUPERVISOR,2018-01-19T09:26:24.000000+0000
67,travel permit 16330,Request Payment,2018-01-23T15:09:03.000000+0000
68,travel permit 16330,End trip,2018-01-25T16:31:08.000000+0000
69,travel permit 16381,End trip,2018-12-21T08:55:11.000000+0000
70,travel permit 16381,Permit APPROVED by ADMINISTRATION,2018-12-21T08:55:13.000000+0000
71,travel permit 16381,Permit FINAL_APPROVED by SUPERVISOR,2019-01-03T08:11:16.000000+0000
72,travel permit 16381,Start trip,2019-03-23T23:00:00.000000+0000
73,travel permit 16381,Permit SUBMITTED by EMPLOYEE,2019-03-29T23:00:00.000000+0000
74,travel permit 16863,Permit SUBMITTED by EMPLOYEE,2018-08-16T15:20:11.000000+0000
75,travel permit 16863,Permit APPROVED by ADMINISTRATION,2018-08-16T15:21:16.000000+0000
76,travel permit 16863,Permit APPROVED by BUDGET OWNER,2018-08-27T14:23:49.000000+0000
77,travel permit 16863,Declaration APPROVED by ADMINISTRATION,2018-08-28T08:13:19.000000+0000
78,travel permit 16863,Start trip,2018-10-21T22:00:00.000000+0000
79,travel permit 16863,End trip,2018-10-25T22:00:00.000000+0000
80,travel permit 16863,Declaration SUBMITTED by EMPLOYEE,2018-11-06T10:34:45.000000+0000
81,travel permit 16863,Payment Handled,2018-11-06T11:11:37.000000+0000
82,travel permit 16863,Declaration APPROVED by BUDGET OWNER,2018-11-13T10:17:04.000000+0000
83,travel permit 16863,Declaration FINAL_APPROVED by SUPERVISOR,2018-11-15T08:50:50.000000+0000
84,travel permit 16863,Request Payment,2018-11-15T11:26:19.000000+0000
85,travel permit 16863,Permit FINAL_APPROVED by SUPERVISOR,2018-11-19T16:31:19.000000+0000
86,travel permit 1714,Permit SUBMITTED by EMPLOYEE,2018-01-23T11:14:58.000000+0000
87,travel permit 1714,Permit APPROVED by ADMINISTRATION,2018-01-23T11:15:03.000000+0000
88,travel permit 1714,Permit APPROVED by BUDGET OWNER,2018-01-23T12:43:18.000000+0000
89,travel permit 1714,Permit FINAL_APPROVED by SUPERVISOR,2018-01-24T08:53:42.000000+0000
90,travel permit 1714,End trip,2018-01-24T23:00:00.000000+0000
91,travel permit 1714,Start trip,2018-01-26T23:00:00.000000+0000
92,travel permit 1714,Send Reminder,2018-03-01T14:20:14.000000+0000
93,travel permit 1714,Send Reminder,2018-05-01T04:00:35.000000+0000
94,travel permit 17734,Permit SUBMITTED by EMPLOYEE,2018-09-20T09:56:02.000000+0000
95,travel permit 17734,Permit APPROVED by ADMINISTRATION,2018-09-20T09:56:08.000000+0000
96,travel permit 17734,Request Payment,2018-09-24T10:27:03.000000+0000
97,travel permit 17734,Start trip,2018-09-24T22:00:00.000000+0000
98,travel permit 17734,End trip,2018-09-24T22:00:00.000000+0000
99,travel permit 17734,Permit FINAL_APPROVED by SUPERVISOR,2018-09-25T06:58:03.000000+0000
100,travel permit 17734,Declaration FINAL_APPROVED by SUPERVISOR,2018-09-27T15:53:54.000000+0000
