,case:concept:name,concept:name,time:timestamp
0,173889,A_SUBMITTED,2011-10-02T12:42:12.094000+0000
1,173889,A_PARTLYSUBMITTED,2011-10-02T12:42:14.078000+0000
2,173889,W_Afhandelen leads,2011-10-02T12:42:29.082000+0000
3,173889,W_Afhandelen leads,2011-10-03T07:33:51.963000+0000
4,173889,A_DECLINED,2011-10-03T07:36:30.650000+0000
5,173889,W_Afhandelen leads,2011-10-03T07:36:33.795000+0000
6,173913,A_SUBMITTED,2011-10-02T15:18:05.023000+0000
7,173913,A_PARTLYSUBMITTED,2011-10-02T15:18:05.154000+0000
8,173913,A_PREACCEPTED,2011-10-02T15:18:41.088000+0000
9,173913,W_Completeren aanvraag,2011-10-02T15:18:41.453000+0000
10,173913,W_Completeren aanvraag,2011-10-03T08:27:15.602000+0000
11,173913,O_SELECTED,2011-10-03T08:43:47.996000+0000
12,173913,A_FINALIZED,2011-10-03T08:43:47.996000+0000
13,173913,A_ACCEPTED,2011-10-03T08:33:01.862000+0000
14,173913,O_CREATED,2011-10-03T08:43:51.087000+0000
15,173913,O_SENT,2011-10-03T08:43:51.111000+0000
16,173913,W_Nabellen offertes,2011-10-03T08:43:51.270000+0000
17,173913,W_Completeren aanvraag,2011-10-03T08:43:52.429000+0000
18,173913,W_Nabellen offertes,2011-10-03T08:44:12.163000+0000
19,173913,W_Nabellen offertes,2011-10-03T08:52:28.959000+0000
20,173913,W_Nabellen offertes,2011-10-06T09:09:08.175000+0000
21,173913,W_Nabellen offertes,2011-10-06T09:14:33.262000+0000
22,173913,W_Nabellen offertes,2011-10-10T11:50:43.132000+0000
23,173913,O_SENT_BACK,2011-10-10T11:51:21.045000+0000
24,173913,W_Valideren aanvraag,2011-10-10T11:51:21.331000+0000
25,173913,W_Nabellen offertes,2011-10-10T11:51:23.171000+0000
26,173913,W_Valideren aanvraag,2011-10-12T13:20:50.322000+0000
27,173913,W_Valideren aanvraag,2011-10-12T13:54:05.047000+0000
28,173913,W_Valideren aanvraag,2011-10-12T13:54:14.138000+0000
29,173913,O_ACCEPTED,2011-10-12T14:00:58.539000+0000
30,173913,A_ACTIVATED,2011-10-12T14:00:58.540000+0000
31,173913,A_APPROVED,2011-10-12T14:00:58.540000+0000
32,173913,A_REGISTERED,2011-10-12T14:00:58.540000+0000
33,173913,W_Valideren aanvraag,2011-10-12T14:01:06.251000+0000
34,175458,A_SUBMITTED,2011-10-07T16:56:44.412000+0000
35,175458,A_PARTLYSUBMITTED,2011-10-07T16:56:44.645000+0000
36,175458,A_DECLINED,2011-10-07T16:57:24.797000+0000
37,176272,A_SUBMITTED,2011-10-11T16:45:34.316000+0000
38,176272,A_PARTLYSUBMITTED,2011-10-11T16:45:34.469000+0000
39,176272,W_Afhandelen leads,2011-10-11T16:46:19.037000+0000
40,176272,W_Afhandelen leads,2011-10-11T16:48:04.055000+0000
41,176272,A_DECLINED,2011-10-11T16:52:37.254000+0000
42,176272,W_Afhandelen leads,2011-10-11T16:52:40.701000+0000
43,176584,A_SUBMITTED,2011-10-12T18:45:42.179000+0000
44,176584,A_PARTLYSUBMITTED,2011-10-12T18:45:42.340000+0000
45,176584,W_Afhandelen leads,2011-10-12T18:45:52.240000+0000
46,176584,W_Afhandelen leads,2011-10-13T07:04:44.914000+0000
47,176584,A_DECLINED,2011-10-13T07:07:51.317000+0000
48,176584,W_Afhandelen leads,2011-10-13T07:07:55.000000+0000
49,177465,A_SUBMITTED,2011-10-17T09:51:58.694000+0000
50,177465,A_PARTLYSUBMITTED,2011-10-17T09:51:58.905000+0000
51,177465,A_PREACCEPTED,2011-10-17T09:52:44.487000+0000
52,177465,O_SELECTED,2011-10-17T10:13:47.191000+0000
53,177465,W_Completeren aanvraag,2011-10-17T10:04:52.010000+0000
54,177465,A_ACCEPTED,2011-10-17T10:12:40.407000+0000
55,177465,W_Completeren aanvraag,2011-10-17T09:52:44.788000+0000
56,177465,A_FINALIZED,2011-10-17T10:13:47.192000+0000
57,177465,O_CREATED,2011-10-17T10:13:48.388000+0000
58,177465,O_SENT,2011-10-17T10:13:48.430000+0000
59,177465,W_Nabellen offertes,2011-10-17T10:13:48.513000+0000
60,177465,W_Completeren aanvraag,2011-10-17T10:13:50.373000+0000
61,177465,W_Nabellen offertes,2011-10-17T10:14:52.806000+0000
62,177465,W_Nabellen offertes,2011-10-17T10:17:25.708000+0000
63,177465,W_Nabellen offertes,2011-10-17T10:28:43.298000+0000
64,177465,W_Nabellen offertes,2011-10-17T10:29:58.813000+0000
65,177465,W_Nabellen offertes,2011-10-25T07:26:03.456000+0000
66,177465,W_Nabellen offertes,2011-10-25T07:28:20.220000+0000
67,177465,W_Nabellen offertes,2011-10-26T15:44:06.043000+0000
68,177465,W_Nabellen offertes,2011-10-26T15:57:08.060000+0000
69,177465,W_Nabellen offertes,2011-10-27T16:45:01.429000+0000
70,177465,W_Nabellen offertes,2011-10-27T16:50:47.863000+0000
71,177465,W_Nabellen offertes,2011-10-27T16:50:59.271000+0000
72,177465,W_Nabellen offertes,2011-10-27T16:53:44.758000+0000
73,177465,W_Nabellen offertes,2011-10-27T16:53:53.456000+0000
74,177465,W_Nabellen offertes,2011-10-27T16:54:14.481000+0000
75,177465,W_Nabellen offertes,2011-10-28T09:08:47.864000+0000
76,177465,W_Nabellen offertes,2011-10-28T09:10:41.202000+0000
77,177465,W_Nabellen offertes,2011-10-29T11:15:04.741000+0000
78,177465,O_SELECTED,2011-10-29T11:17:33.721000+0000
79,177465,O_CANCELLED,2011-10-29T11:17:33.721000+0000
